,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6001,-0.830072994,0.170457966270084,0.123568333,0.13001442,0.11630956,0.331153378,0.328719101,-0.581566033,-0.593116276,-0.314451776,-0.303180616,-0.905438298,-1.710054246,-1.754344233,-1.629719582,-1.552679738,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.3879621,0.141754197186675,0.172803173,0.133784879,0.299332187,0.346406266,0.166570747,-0.423916782,-0.593962661,-1.231283916,-0.570314071,-0.712236735,-1.486364462,-2.005665518,-1.772740782,-1.63670743,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,1.159255518,0.307526655289836,0.607155039,0.574489095,0.824823717,0.59145359,0.487313546,0.028395343,-0.204909023,-1.122979487,-1.344274194,-1.083572076,-1.579605171,-2.136695831,-1.927412038,-1.709844495,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-1.055862602,0.625512492622339,0.422892578,0.384970858,0.392637449,0.251279925,0.477637424,0.051990628,-0.248256472,-1.119180946,-1.706548985,-1.34951141,-1.544055998,-2.003764952,-1.922088421,-1.808947115,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.686897538,0.739745022517289,0.415755098,0.414334488,0.384952295,0.466490355,0.48227774,0.115906757,-0.204552469,-1.830570765,-1.843764168,-1.621602928,-1.527063528,-1.987691063,-2.117589191,-2.133222127,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,2.607914504,0.735677402139576,0.417077515,0.665786385,0.637471511,0.707029349,0.64845975,0.262595146,-0.069439287,-1.632951369,-2.008873603,-2.123601779,-1.735911263,-2.084189495,-2.161925774,-2.137572879,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.872650625,1.71266284187618,0.978658948,0.683748321,0.638550301,0.576905845,0.649253687,0.263184712,-0.069498327,-1.128550027,-2.164338934,-2.236886828,-1.891061198,-2.004654644,-2.255211338,-2.14824178,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6001,0.610838724,2.51855673415934,1.146588775,0.665763495,0.639611987,0.683522255,0.649089669,0.263730072,-0.069099184,-1.431509906,-2.060342889,-2.221011426,-1.93214974,-1.815252099,-2.446157568,-2.216130677,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6001,-0.499987699,-0.619075399045792,0.614244767,0.381789001,0.635045526,0.830471621,0.627231547,0.266382123,-0.082795485,0.656841737,-0.778858986,-1.942557485,-2.012118405,-1.671188144,-2.341687472,-2.18346392,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6001,0.574821567,0.367476716511099,1.399124526,0.944809823,0.675892193,0.642976834,0.448058779,0.347958293,-0.090241031,-0.049786979,-0.203840223,-1.633686942,-1.960199086,-1.677686517,-2.168182296,-2.10664553,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6001,-0.376430245,-0.269156027536205,0.547899573,0.781915006,0.506410749,0.465481866,0.530210315,0.314185319,-0.021497947,-1.208610146,-0.360124791,-1.498925214,-2.03531734,-1.814806159,-2.112724242,-2.228895656,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
