,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8001,0.929709551,-0.176419715330622,-1.462472746,-0.90040971,-0.321964126,-0.074926859,0.730007075,0.146702353,-0.124443171,-0.475727944,0.322742862,1.137749063,0.674034301,0.214553577,-0.696015352,-0.680390636,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,0.40707286,0.205573666928651,-1.230475547,-0.664540987,-0.336882257,0.032632552,0.805621274,0.144855542,-0.103595477,-1.079428106,-0.192562877,0.352156734,0.480232425,0.139363285,-0.802087051,-1.147666047,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-1.323021136,-0.583003089376356,-0.979886091,-1.457743157,-0.664383079,-0.285575543,0.67277851,0.104363528,-0.182573058,0.548364417,-0.668205717,0.260353077,0.56727123,0.323589475,-0.652512859,-1.114247498,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-0.151951831,-0.909027082167026,-0.863308756,-1.612914753,-1.176899984,-0.812111278,0.188983695,0.21373016,-0.384824481,0.018189669,-0.46695951,-0.035825233,0.606814172,0.336379694,-0.171296614,-0.981856336,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,1.323235889,0.450846672577198,0.452027197,-0.216976685,-0.222013402,-0.099459496,0.653634192,0.67918134,-0.070645028,-1.773223231,-0.51142489,-0.448253372,0.044507848,0.196511958,-0.635838852,-1.27125933,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-0.294285928,0.591594775336782,0.315401804,0.033244616,-0.489034539,-0.246234423,0.173830983,0.73345971,0.06210866,-0.042789649,-0.800342355,-0.981081823,-0.173120567,0.130113447,-0.323607012,-1.128432208,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,1.476228825,1.36264905540577,0.749172663,0.68125259,-0.014801759,0.235583482,0.347364275,1.169986873,0.349575925,0.882476862,-0.632492423,-0.734054931,-0.301524783,0.27442913,-0.21663673,-0.889874349,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8001,-1.4396445,0.0938276095613636,0.323534477,0.331306773,-0.186315512,-0.063762046,0.185000534,0.590247384,0.160016783,2.009401205,1.136499409,0.295397536,0.083958684,0.471601989,0.279441284,-0.594701763,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8001,0.301789207,0.376406970348277,0.633952617,0.406570698,0.148592788,-0.104236711,0.179326638,0.641036431,0.218309116,-0.258803939,1.141092776,0.00668257,-0.449826511,0.22444686,0.291436066,-0.574036105,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8001,1.058982614,-0.105659626162645,1.087397951,0.573659629,0.503814865,-0.184901041,0.075721089,0.788026822,0.373631168,0.169504765,0.819890951,0.070065785,-0.247576886,0.010779602,0.325496246,-0.139108249,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8001,-0.182215323,0.618624353128307,0.339047726,0.477137241,0.472957186,-0.047221349,0.045468587,0.778790555,0.409804599,0.014165898,-0.019347799,0.651829736,0.223364457,0.078799778,0.498412343,-0.264795918,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8001,0.917819685,0.908720560707867,0.677267563,0.821851239,0.632019604,-0.100575864,0.071536619,0.799150426,0.354688774,-0.831090338,-0.451392456,0.298813412,-0.247248676,-0.55230542,0.265372518,-0.140025145,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8001,-0.732230395,-0.0804950198131497,-0.221648761,0.942785771,0.481146057,-0.206750326,0.085148388,0.75890091,0.328683799,1.110828326,0.223970102,0.65171411,0.229025884,-0.050853323,0.587564935,0.115554647,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,2.09057309,1.66312972846199,1.169211192,0.684814719,0.748095609,0.234222012,0.270533028,0.953653764,0.455963621,-1.154871349,-0.437708288,-0.346192025,0.195318726,-0.060311992,0.177125853,0.059667475,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-2.292026009,-0.186009622507113,0.485790554,0.484930927,0.684390783,0.253483748,-0.010998128,0.827658937,0.398314091,2.060661356,0.824628626,0.345352351,0.760863338,0.30005555,0.39201941,0.435609771,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,0.326780182,0.156158299076275,0.053342625,-0.121165667,0.82299051,0.373488984,-0.229897915,0.567768974,0.55617433,1.733590571,1.109076772,0.828605814,1.099770104,0.743506198,0.530245386,0.706542945,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-1.120651263,-1.24533572132471,-0.49815312,-0.179378973,-0.165267977,0.022896301,-0.345381239,0.396641448,0.47479379,0.840656682,2.303459521,1.051704777,0.921463109,1.265144726,0.733795682,0.977323565,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
